iter	Passed	Remaining
919	10002	6305
920	10012	6294
921	10022	6282
922	10031	6271
923	10042	6260
924	10052	6248
925	10062	6237
926	10071	6225
927	10085	6216
928	10096	6205
929	10106	6194
930	10117	6183
931	10127	6172
932	10138	6161
933	10149	6150
934	10159	6139
935	10169	6127
936	10180	6116
937	10190	6105
938	10205	6096
939	10216	6086
940	10225	6074
941	10235	6063
942	10245	6051
943	10255	6040
944	10266	6029
945	10276	6017
946	10286	6007
947	10297	5995
948	10310	5986
949	10321	5975
950	10331	5964
951	10341	5952
952	10352	5942
953	10362	5930
954	10371	5919
955	10382	5908
956	10392	5896
957	10402	5885
958	10412	5874
959	10426	5864
960	10436	5853
961	10446	5841
962	10456	5830
963	10466	5819
964	10476	5808
965	10486	5796
966	10497	5786
967	10508	5775
968	10517	5763
969	10531	5754
970	10545	5745
971	10555	5733
972	10566	5723
973	10576	5711
974	10586	5700
975	10596	5689
976	10606	5677
977	10617	5666
978	10627	5655
979	10640	5646
980	10651	5635
981	10661	5623
982	10671	5612
983	10681	5601
984	10690	5589
985	10700	5578
986	10710	5567
987	10721	5556
988	10731	5544
989	10741	5533
990	10754	5523
991	10765	5513
992	10776	5501
993	10787	5491
994	10797	5479
995	10808	5469
996	10817	5457
997	10828	5446
998	10837	5435
999	10847	5423
1000	10860	5413
1001	10870	5402
1002	10882	5392
1003	10892	5380
1004	10902	5369
1005	10912	5358
1006	10923	5348
1007	10934	5337
1008	10945	5326
1009	10957	5315
1010	10971	5306
1011	10982	5295
1012	10993	5285
1013	11004	5274
1014	11014	5263
1015	11025	5252
1016	11035	5241
1017	11045	5229
1018	11055	5218
1019	11065	5207
1020	11080	5198
1021	11090	5187
1022	11100	5175
1023	11110	5164
1024	11120	5153
1025	11130	5142
1026	11141	5131
1027	11152	5120
1028	11162	5109
1029	11173	5098
1030	11187	5089
1031	11196	5077
1032	11207	5066
1033	11217	5055
1034	11227	5044
1035	11238	5033
1036	11249	5022
1037	11260	5011
1038	11271	5001
1039	11282	4990
1040	11297	4981
1041	11307	4970
1042	11317	4958
1043	11327	4947
1044	11337	4936
1045	11346	4924
1046	11357	4913
1047	11367	4902
1048	11378	4891
1049	11387	4880
1050	11401	4870
1051	11411	4859
1052	11422	4848
1053	11433	4837
1054	11443	4826
1055	11453	4815
1056	11463	4804
1057	11472	4793
1058	11482	4781
1059	11493	4770
1060	11506	4760
1061	11517	4749
1062	11527	4738
1063	11538	4728
1064	11548	4717
1065	11558	4705
1066	11569	4695
1067	11579	4683
1068	11590	4672
1069	11600	4662
1070	11614	4652
1071	11624	4641
1072	11635	4630
1073	11645	4618
1074	11654	4607
1075	11664	4596
1076	11673	4584
1077	11684	4573
1078	11694	4562
1079	11704	4551
1080	11718	4541
1081	11727	4530
1082	11737	4519
1083	11748	4508
1084	11758	4497
1085	11768	4486
1086	11779	4475
1087	11789	4464
1088	11799	4453
1089	11810	4442
1090	11822	4432
1091	11833	4421
1092	11843	4410
1093	11854	4399
1094	11865	4388
1095	11877	4378
1096	11888	4367
1097	11898	4356
1098	11908	4344
1099	11917	4333
1100	11931	4323
1101	11941	4312
1102	11952	4302
1103	11963	4291
1104	11974	4280
1105	11985	4269
1106	11995	4258
1107	12005	4247
1108	12016	4236
1109	12027	4226
1110	12041	4216
1111	12052	4205
1112	12063	4194
1113	12074	4183
1114	12085	4172
1115	12095	4161
1116	12104	4150
1117	12115	4139
1118	12125	4128
1119	12135	4117
1120	12149	4107
1121	12159	4096
1122	12169	4085
1123	12181	4075
1124	12191	4063
1125	12201	4052
1126	12211	4041
1127	12221	4030
1128	12231	4019
1129	12240	4008
1130	12254	3998
1131	12264	3987
1132	12274	3975
1133	12284	3964
1134	12294	3953
1135	12304	3942
1136	12314	3931
1137	12325	3920
1138	12335	3909
1139	12346	3898
1140	12356	3887
1141	12369	3877
1142	12380	3866
1143	12390	3855
1144	12400	3844
1145	12410	3833
1146	12421	3822
1147	12430	3811
1148	12441	3800
1149	12451	3789
1150	12460	3778
1151	12474	3768
1152	12485	3757
1153	12496	3746
1154	12506	3735
1155	12515	3724
1156	12526	3713
1157	12536	3702
1158	12547	3691
1159	12557	3680
1160	12566	3669
1161	12579	3659
1162	12590	3648
1163	12600	3637
1164	12610	3626
1165	12620	3615
1166	12631	3604
1167	12642	3593
1168	12652	3582
1169	12663	3571
1170	12674	3561
1171	12688	3551
1172	12700	3540
1173	12710	3529
1174	12721	3518
1175	12732	3507
1176	12743	3497
1177	12753	3486
1178	12763	3474
1179	12774	3464
1180	12784	3453
1181	12798	3443
1182	12808	3432
1183	12818	3421
1184	12828	3410
1185	12839	3399
1186	12849	3388
1187	12860	3377
1188	12871	3366
1189	12881	3355
1190	12891	3344
1191	12905	3334
1192	12916	3323
1193	12926	3312
1194	12938	3302
1195	12947	3291
1196	12957	3279
1197	12968	3269
1198	12978	3258
1199	12988	3247
1200	12998	3236
1201	13011	3225
1202	13022	3215
1203	13032	3204
1204	13042	3193
1205	13054	3182
1206	13065	3171
1207	13076	3160
1208	13089	3150
1209	13098	3139
1210	13108	3128
1211	13122	3118
1212	13132	3107
1213	13142	3096
1214	13154	3085
1215	13165	3074
1216	13176	3064
1217	13187	3053
1218	13197	3042
1219	13207	3031
1220	13218	3020
1221	13232	3010
1222	13243	2999
1223	13254	2988
1224	13264	2977
1225	13273	2966
1226	13284	2955
1227	13293	2944
1228	13302	2933
1229	13312	2922
1230	13323	2911
1231	13335	2900
1232	13346	2890
1233	13356	2879
1234	13367	2868
1235	13377	2857
1236	13388	2846
1237	13398	2835
1238	13408	2824
1239	13418	2813
1240	13428	2802
1241	13442	2792
1242	13452	2781
1243	13462	2770
1244	13472	2759
1245	13482	2748
1246	13492	2737
1247	13501	2726
1248	13511	2715
1249	13521	2704
1250	13531	2693
1251	13545	2683
1252	13555	2672
1253	13565	2661
1254	13574	2650
1255	13585	2639
1256	13596	2628
1257	13605	2617
1258	13615	2606
1259	13627	2595
1260	13637	2584
1261	13651	2574
1262	13662	2563
1263	13673	2552
1264	13683	2541
1265	13693	2531
1266	13705	2520
1267	13715	2509
1268	13726	2498
1269	13736	2487
1270	13745	2476
1271	13758	2466
1272	13768	2455
1273	13780	2444
1274	13790	2433
1275	13801	2422
1276	13810	2411
1277	13820	2400
1278	13830	2389
1279	13840	2378
1280	13850	2367
1281	13863	2357
1282	13873	2346
1283	13883	2335
1284	13893	2324
1285	13902	2313
1286	13913	2302
1287	13922	2291
1288	13933	2280
1289	13943	2269
1290	13952	2258
1291	13965	2248
1292	13976	2237
1293	13988	2226
1294	13997	2215
1295	14009	2205
1296	14020	2194
1297	14029	2183
1298	14040	2172
1299	14050	2161
1300	14061	2150
1301	14075	2140
1302	14086	2129
1303	14096	2118
1304	14107	2107
1305	14118	2097
1306	14127	2086
1307	14138	2075
1308	14148	2064
1309	14160	2053
1310	14171	2043
1311	14185	2032
1312	14195	2021
1313	14206	2010
1314	14216	2000
1315	14227	1989
1316	14237	1978
1317	14247	1967
1318	14257	1956
1319	14267	1945
1320	14277	1934
1321	14291	1924
1322	14301	1913
1323	14311	1902
1324	14322	1891
1325	14333	1880
1326	14343	1869
1327	14354	1859
1328	14365	1848
1329	14376	1837
1330	14386	1826
1331	14400	1816
1332	14409	1805
1333	14420	1794
1334	14431	1783
1335	14442	1772
1336	14453	1762
1337	14464	1751
1338	14475	1740
1339	14485	1729
1340	14495	1718
1341	14507	1708
1342	14518	1697
1343	14529	1686
1344	14540	1675
1345	14550	1664
1346	14560	1653
1347	14571	1643
1348	14582	1632
